Edad;Id_animal;Tipo;Raza;color;Fecha_de_nac;Fecha_y_Hora;Mes_y_ano;Nombre;Tipo_resultado;Adquisicion;Esterilizado
6 months;A686323;Dog;Catahoula Mix;Chocolate/White;2014-03-09T00:00:00;2014-09-24T15:02:00;2014-09-24T15:02:00;Hope;;Adoption;Spayed Female
3 weeks;A693716;Cat;Domestic Shorthair Mix;Cream;2014-11-21T00:00:00;2014-12-13T15:32:00;2014-12-13T15:32:00;;Partner;Transfer;Intact Male
1 year;A663168;Dog;Catahoula Mix;Brown Merle;2012-03-13T00:00:00;2013-10-14T18:44:00;2013-10-14T18:44:00;Archer;;Return to Owner;Neutered Male
1 year;A666241;Dog;Boxer;Brown/White;2012-05-29T00:00:00;2013-11-10T12:42:00;2013-11-10T12:42:00;Daisy;;Adoption;Spayed Female
1 year;A635769;Cat;Domestic Shorthair Mix;Brown Tabby/White;2012-05-12T00:00:00;2013-10-28T12:30:00;2013-10-28T12:30:00;;;Return to Owner;Spayed Female
2 years;A687230;Dog;Boston Terrier/Pug;Sable/White;2012-09-02T00:00:00;2014-09-10T12:52:00;2014-09-10T12:52:00;*Lydia;;Adoption;Spayed Female
2 months;A671599;Dog;Pit Bull Mix;Black Brindle/White;2013-11-12T00:00:00;2014-02-04T14:06:00;2014-02-04T14:06:00;Crystal;Partner;Transfer;Intact Female
2 years;A682764;Cat;Domestic Shorthair Mix;Blue Tabby;2012-07-02T00:00:00;2014-07-02T16:29:00;2014-07-02T16:29:00;Tica;;Return to Owner;Spayed Female
6 years;A670679;Dog;Australian Cattle Dog Mix;White/Tan;2008-01-12T00:00:00;2014-01-16T17:02:00;2014-01-16T17:02:00;;;Adoption;Neutered Male
5 years;A683688;Dog;Boxer;Brown Brindle/White;2009-07-21T00:00:00;2014-07-23T13:16:00;2014-07-23T13:16:00;Chunk;;Return to Owner;Intact Male
3 weeks;A686932;Cat;Domestic Shorthair Mix;Black/White;2014-08-07T00:00:00;2014-08-29T12:03:00;2014-08-29T12:03:00;;Partner;Transfer;Intact Male
2 months;A669611;Dog;Labrador Retriever Mix;Black/White;2013-10-23T00:00:00;2013-12-24T11:16:00;2013-12-24T11:16:00;;Partner;Transfer;Intact Female
1 year;A685334;Dog;Border Collie/Labrador Retriever;Red/White;2013-08-05T00:00:00;2014-08-11T15:16:00;2014-08-11T15:16:00;*Merida;Partner;Transfer;Spayed Female
2 months;A668562;Cat;Domestic Shorthair Mix;Orange Tabby;2013-10-05T00:00:00;2013-12-13T18:13:00;2013-12-13T18:13:00;Prof Butters;;Adoption;Intact Female
